"external_gene_name" "gene_biotype" "start_position" "end_position" "source"
"ENSRNOG00000031780" "AY172581.13" "Mt_tRNA" 1 67 "insdc"
"ENSRNOG00000030478" "AY172581.9" "Mt_rRNA" 68 1025 "insdc"
"ENSRNOG00000029171" "AY172581.3" "Mt_tRNA" 1026 1093 "insdc"
"ENSRNOG00000043866" "AY172581.24" "Mt_rRNA" 1094 2664 "insdc"
"ENSRNOG00000032112" "AY172581.14" "Mt_tRNA" 2665 2739 "insdc"
"ENSRNOG00000030644" "Mt-nd1" "protein_coding" 2740 3694 "insdc"
"ENSRNOG00000029301" "AY172581.4" "Mt_tRNA" 3695 3763 "insdc"
"ENSRNOG00000033545" "AY172581.21" "Mt_tRNA" 3761 3831 "insdc"
"ENSRNOG00000032274" "AY172581.15" "Mt_tRNA" 3835 3903 "insdc"
"ENSRNOG00000031033" "Mt-nd2" "protein_coding" 3904 4942 "insdc"
"ENSRNOG00000029677" "AY172581.6" "Mt_tRNA" 4943 5008 "insdc"
"ENSRNOG00000033932" "AY172581.22" "Mt_tRNA" 5010 5078 "insdc"
"ENSRNOG00000032609" "AY172581.18" "Mt_tRNA" 5081 5152 "insdc"
"ENSRNOG00000031333" "AY172581.10" "Mt_tRNA" 5185 5252 "insdc"
"ENSRNOG00000029954" "AY172581.7" "Mt_tRNA" 5256 5321 "insdc"
"ENSRNOG00000034234" "Mt-co1" "protein_coding" 5323 6867 "insdc"
"ENSRNOG00000032882" "AY172581.19" "Mt_tRNA" 6865 6933 "insdc"
"ENSRNOG00000031685" "AY172581.12" "Mt_tRNA" 6937 7004 "insdc"
"ENSRNOG00000030371" "Mt-co2" "protein_coding" 7006 7689 "insdc"
"ENSRNOG00000029070" "AY172581.1" "Mt_tRNA" 7693 7756 "insdc"
"ENSRNOG00000033299" "Mt-atp8" "protein_coding" 7758 7961 "insdc"
"ENSRNOG00000031979" "Mt-atp6" "protein_coding" 7919 8599 "insdc"
"ENSRNOG00000030700" "Mt-co3" "protein_coding" 8599 9382 "insdc"
"ENSRNOG00000029389" "AY172581.5" "Mt_tRNA" 9383 9450 "insdc"
"ENSRNOG00000033615" "Mt-nd3" "protein_coding" 9451 9798 "insdc"
"ENSRNOG00000032320" "AY172581.16" "Mt_tRNA" 9800 9867 "insdc"
"ENSRNOG00000031053" "Mt-nd4l" "protein_coding" 9870 10166 "insdc"
"ENSRNOG00000029707" "Mt-nd4" "protein_coding" 10160 11537 "insdc"
"ENSRNOG00000033957" "AY172581.23" "Mt_tRNA" 11538 11605 "insdc"
"ENSRNOG00000032578" "AY172581.17" "Mt_tRNA" 11606 11665 "insdc"
"ENSRNOG00000031667" "AY172581.11" "Mt_tRNA" 11665 11735 "insdc"
"ENSRNOG00000029971" "Mt-nd5" "protein_coding" 11736 13565 "insdc"
"ENSRNOG00000029042" "Mt-nd6" "protein_coding" 13543 14061 "insdc"
"ENSRNOG00000032997" "AY172581.20" "Mt_tRNA" 14062 14130 "insdc"
"ENSRNOG00000031766" "Mt-cyb" "protein_coding" 14136 15278 "insdc"
"ENSRNOG00000030339" "AY172581.8" "Mt_tRNA" 15280 15346 "insdc"
"ENSRNOG00000029145" "AY172581.2" "Mt_tRNA" 15348 15415 "insdc"
"ENSRNOG00000056933" "AABR07058420.1" "lincRNA" 115577579 115588005 "ensembl"
"ENSRNOG00000053465" "AABR07028186.1" "lincRNA" 59365033 59365653 "ensembl"
"ENSRNOG00000056802" "AABR07028749.2" "lincRNA" 84664568 84666134 "ensembl"
"ENSRNOG00000058088" "LOC102550206" "lincRNA" 14507956 14512887 "ensembl"
"ENSRNOG00000050313" "AABR07044765.1" "miRNA" 19864194 19864319 "ensembl"
"ENSRNOG00000018762" "Rsph3" "protein_coding" 47426258 47477524 "ensembl"
"ENSRNOG00000000415" "Asf1a" "protein_coding" 34894419 34909265 "ensembl"
"ENSRNOG00000057065" "AABR07027457.2" "snoRNA" 31913510 31913636 "ensembl"
"ENSRNOG00000013102" "Entpd2" "protein_coding" 2617805 2623445 "ensembl"
"ENSRNOG00000058883" "NEWGENE_1589866" "protein_coding" 90787787 90806126 "ensembl"
"ENSRNOG00000040242" "Epm2a" "protein_coding" 5448958 5571512 "ensembl"
"ENSRNOG00000007027" "Hgf" "protein_coding" 15433295 15505362 "ensembl"
"ENSRNOG00000056734" "Gm24656" "snoRNA" 74322795 74322926 "ensembl"
"ENSRNOG00000035582" "Mir26a" "miRNA" 127714441 127714530 "ensembl"
"ENSRNOG00000036402" "AABR07026936.1" "miRNA" 5769467 5769574 "ensembl"
"ENSRNOG00000014268" "Abca2" "protein_coding" 2648885 2668809 "ensembl"
"ENSRNOG00000003508" "Ergic1" "protein_coding" 16821880 16910641 "ensembl"
"ENSRNOG00000055473" "AABR07010181.1" "pseudogene" 128194906 128195150 "ensembl"
"ENSRNOG00000014185" "Tktl2" "protein_coding" 24949425 24951612 "ensembl"
"ENSRNOG00000050854" "LOC108348101" "protein_coding" 82862695 82876051 "ensembl"
"ENSRNOG00000033391" "Ascl5" "protein_coding" 52887649 52888215 "ensembl"
"ENSRNOG00000038902" "Rbis" "protein_coding" 88344527 88350784 "ensembl"
"ENSRNOG00000033540" "Cts7" "protein_coding" 3280311 3285451 "ensembl"
"ENSRNOG00000001452" "Fzd9" "protein_coding" 24473981 24476295 "ensembl"
